,opening_hours,city,creation_date,id,street,email,phone_number,name
20,12:00-23:00,Unknown,3/3/18 23:33,328,Emmet Ct,explorers_club___arctic_club@yahoo.com,0498-853282,Explorers Club   Arctic Club
21,12:00-23:00,San Francisco,6/28/17 16:26,149,Faxon Ave,union_pacific__railroad@inbox.com,0495-218313,Union Pacific  Railroad
22,12:00-23:00,New York,5/13/17 10:36,70,Incinerator Rd,winthrop_hotel@hotmail.com,0498-308091,Winthrop Hotel
23,12:00-23:00,Unknown,12/6/17 20:14,294,Bird St,american_spool_cotton_manufacturers_association@hotmail.com,0497-515464,American Spool Cotton Manufacturers Association
24,12:00-23:00,Unknown,1/23/18 11:23,314,Beale St,willards_hotel@inbox.com,0499-396148,Willards Hotel
25,12:00-23:00,New York,6/15/17 21:28,134,Ashwood Ln,the_upholstey_and_allied_trades@yahoo.com,0499-348306,The Upholstey And Allied Trades
26,12:00-23:00,Unknown,7/14/17 5:42,171,Edith St,century_club?@inbox.com,0498-662968,Century Club?
27,12:00-23:00,San Francisco,5/16/17 5:04,78,Haight St,amity_hall_inn@inbox.com,0497-081463,Amity Hall Inn
28,12:00-23:00,Unknown,5/30/17 7:49,102,Lincoln Way,library_room@aol.com,0496-312433,Library Room
29,12:00-23:00,San Francisco,2/2/18 7:28,317,Leona Terrace,mills_hotel@gmail.com,0496-313456,Mills Hotel
30,12:00-23:00,Unknown,4/28/17 14:52,41,S Hughes Ln - Golden Gate National Recreation Area,bert_hough_&_tony_franker___pabst_blue_ribbon@gmail.com,0498-587830,Bert Hough & Tony Franker   Pabst Blue Ribbon
31,12:00-23:00,Unknown,4/26/17 18:19,36,Clover St,friends_of_hanthony_dyer@gmail.com,0495-277891,Friends Of H.Anthony Dyer
32,12:00-23:00,San Francisco,7/1/18 14:30,359,Sansome St,the_ballroom_of_the_hotel_plaza@yahoo.com,0494-478153,The Ballroom Of The Hotel Plaza
33,12:00-23:00,Unknown,6/16/17 3:47,136,Doublerock St,brasserie_dalsace@mail.com,0495-312358,Brasserie Dalsace
34,12:00-23:00,San Francisco,12/8/17 11:00,295,Fresnel Way,liptons_restaurant@mail.com,0499-421579,Liptons Restaurant
35,12:00-23:00,Unknown,4/23/17 6:01,30,Harrison St,comrades_of_the_army_of_the_potomac@gmail.com,0494-503010,Comrades Of The Army Of The Potomac
36,12:00-23:00,New York,12/15/17 1:35,300,Tucker Ave,dr_h_g_sherman@hotmail.com,0496-897141,Dr. H. G. Sherman
37,12:00-23:00,New York,10/23/17 7:36,275,Meadowbrook Dr,hamburg_america_line@outlook.com,0495-118669,Hamburg America Line
38,12:00-23:00,New York,12/8/18 1:04,399,John F Kennedy Dr,santa_fe_dining_car_service@yahoo.com,0496-559782,Santa Fe Dining Car Service
39,12:00-23:00,New York,7/3/17 13:43,159,Avenue M,restaurant_faberhof@outlook.com,0494-730473,Restaurant Faberhof
40,12:00-23:00,San Francisco,8/15/17 6:47,204,Knott Ct,dante@inbox.com,0498-723637,Dante
41,12:00-23:00,New York,6/15/18 7:26,356,Avenue C,society_of_colonial_wars_in_state_of_new_jersey@inbox.com,0499-532891,Society Of Colonial Wars In State Of New Jersey
42,12:00-23:00,Unknown,6/10/18 19:58,353,Tenny Pl,sheraton_blackstone_chicago@inbox.com,0497-637785,Sheraton Blackstone Chicago
43,12:00-23:00,Unknown,4/17/17 4:22,24,Cordelia St,greenhuts_lunch_room_at_18th_and_19th_streets@outlook.com,0497-157694,Greenhuts Lunch Room at 18th and 19th Streets.
44,12:00-23:00,San Francisco,7/26/17 8:00,183,Italy Ave,yale_alumni_association@mail.com,0498-591241,Yale Alumni Association
45,12:00-23:00,New York,5/19/17 10:57,84,Beacon St,au_chat_noir@hotmail.com,0495-777151,Au Chat Noir
46,12:00-23:00,Unknown,6/3/17 6:10,111,Mansfield St,pennsylvania_tours_to_the_golden_gate@hotmail.com,0499-240382,Pennsylvania Tours To The Golden Gate
47,12:00-23:00,San Francisco,12/12/17 7:40,298,San Marcos Ave,grand_union_hotel@inbox.com,0494-309588,Grand Union Hotel
48,12:00-23:00,New York,4/24/17 5:24,33,Sunview Dr,tower_restaurant_and_cafe@yahoo.com,0496-446296,Tower Restaurant And Cafe
49,12:00-23:00,New York,4/30/17 6:32,45,Reservoir Rd,usgovernment@gmail.com,0499-531905,U.S.Government
50,12:00-23:00,New York,8/18/18 4:18,373,Ocean Ave,friends_of_mr_charles_a_brunn@mail.com,0495-857428,Friends Of Mr. Charles A. Brunn
51,12:00-23:00,New York,9/19/17 11:30,250,Annie St,western_reserve_university@mail.com,0498-266434,Western Reserve University
52,12:00-23:00,New York,4/22/17 9:33,28,Burke Ave,society_of_medical_jurisprudence@hotmail.com,0495-967704,Society Of Medical Jurisprudence
53,12:00-23:00,Unknown,9/1/17 6:20,226,Elm St,waldorf_astoria_hotel@hotmail.com,0494-718497,Waldorf Astoria Hotel
54,12:00-23:00,San Francisco,7/25/18 6:16,365,Calgary St,frederik_viii@hotmail.com,0498-505329,Frederik Viii
55,12:00-23:00,New York,2/9/18 10:16,321,Laurel St,hotel_de_la_tremoille@aol.com,0496-792550,Hotel De La Tremoille
56,12:00-23:00,San Francisco,12/6/17 17:21,293,Flournoy St,"russell_house,the@aol.com",0496-624597,"Russell House,The"
57,12:00-23:00,San Francisco,11/23/18 4:42,393,Southard Pl,friends_of_geo_w_gardner@hotmail.com,0499-673234,Friends Of Geo W. Gardner
58,12:00-23:00,San Francisco,4/15/17 13:05,21,Bosworth St,ss_bruce@inbox.com,0495-086825,S.S. Bruce
59,12:00-23:00,Unknown,4/13/17 12:08,16,Harrison Blvd - Golden Gate National Recreation Area,henri_confiseur@inbox.com,0499-393361,Henri Confiseur
60,12:00-23:00,Unknown,6/15/17 7:41,133,Nevada St,the_guaranty_club@yahoo.com,0495-732270,The Guaranty Club
61,12:00-23:00,San Francisco,6/24/17 3:16,147,Cabrillo St,international_railway_congress@hotmail.com,0494-344541,International Railway Congress
62,12:00-23:00,New York,6/11/18 19:41,354,Bush St,orpheus_masquerade@hotmail.com,0499-888462,Orpheus Masquerade
63,12:00-23:00,San Francisco,6/11/17 5:52,120,Nike Rd,royal_literary_fund@mail.com,0494-481828,Royal Literary Fund
64,12:00-23:00,New York,6/22/17 7:40,144,Lloyd St,municipal_art_society@inbox.com,0499-650581,Municipal Art Society
65,12:00-23:00,San Francisco,5/27/17 7:06,96,Kenwood Way,mckees_restaurant@inbox.com,0495-516587,McKees Restaurant
66,12:00-23:00,San Francisco,8/14/17 22:32,202,Gardenside Dr,royal_hawaiian_hotel_(sheraton_hotels_in_hawaii)@outlook.com,0498-522720,Royal Hawaiian Hotel (Sheraton Hotels In Hawaii)
67,12:00-23:00,New York,9/20/17 1:06,251,R St,graemere_hotel@mail.com,0494-021028,Graemere Hotel
68,12:00-23:00,San Francisco,9/6/17 17:10,235,Commer Ct,the_four_seasons_motor_hotel@hotmail.com,0499-081563,The Four Seasons Motor Hotel
69,12:00-23:00,San Francisco,4/13/17 10:49,15,Donner Ave,robert_e_peary@inbox.com,0494-709746,Robert E. Peary
70,12:00-23:00,New York,9/9/17 11:46,237,Annie St,henry_van_schaick@yahoo.com,0498-028115,Henry Van Schaick
71,12:00-23:00,San Francisco,3/1/18 7:28,325,Edinburgh St,hotel_lexington@hotmail.com,0497-521831,Hotel Lexington
72,12:00-23:00,Unknown,9/18/17 17:11,249,Point Lobos,king_umberto_and_queen_margharita@yahoo.com,0495-066886,King Umberto And Queen Margharita
73,12:00-23:00,San Francisco,8/14/17 15:26,201,Spofford St,state_department_special_to_the_pand_american_congress_at_the_city_of_mexico_(pullman_car_service)@inbox.com,0494-454774,State Department Special To The Pand American Congress At The City Of Mexico (Pullman Car Service)
74,12:00-23:00,New York,11/9/17 2:46,279,Vesey Pl,blanchs@mail.com,0497-871572,Blanchs
75,12:00-23:00,Unknown,4/28/17 12:25,40,W 98th St,ocean_house@mail.com,0499-857831,Ocean House
76,12:00-23:00,New York,7/10/17 7:40,166,Elk St,assembly@gmail.com,0494-892101,Assembly
77,12:00-23:00,Unknown,11/17/17 16:19,285,E 15th St,santa_fe_route_dining_car_service@gmail.com,0494-055669,Santa Fe Route Dining Car Service
78,12:00-23:00,New York,2/10/18 9:39,322,W 181st St,chocorua_inn@hotmail.com,0495-270358,Chocorua Inn
79,12:00-23:00,New York,9/20/17 23:51,252,E 73rd St,greenhut-siegel_cooper_co@yahoo.com,0495-593848,Greenhut-Siegel Cooper Co.
80,12:00-23:00,Unknown,12/13/17 22:23,299,Clarkson St,simpson_timber@aol.com,0497-506171,Simpson Timber
81,12:00-23:00,Unknown,12/1/18 23:50,396,Pitt St,parisien@aol.com,0494-018538,Parisien
82,12:00-23:00,New York,12/27/17 11:42,306,South End Ave,the_florida_brewing_co@outlook.com,0496-784129,The Florida Brewing Co.
83,12:00-23:00,New York,7/26/17 8:51,184,W 102nd St,neuman_&_bogdonoff@gmail.com,0495-494828,Neuman & Bogdonoff
84,12:00-23:00,New York,4/10/17 19:20,12,Fort George Ave,roome_lodge@mail.com,0494-584106,Roome Lodge
85,12:00-23:00,New York,12/1/17 5:56,291,Rockefeller Plaza,hd_bristols_oyster_&_chop_house@outlook.com,0496-661932,H.D. Bristols Oyster & Chop House
86,12:00-23:00,New York,7/17/17 14:10,176,Gramercy Park W,royal_york_hotel@yahoo.com,0499-519605,Royal York Hotel
87,12:00-23:00,New York,8/29/17 16:07,219,W 37th St,jj_haggartys_mezzanine_tea_room@gmail.com,0496-665065,J.J. Haggartys Mezzanine Tea Room
88,12:00-23:00,New York,4/4/17 12:46,1,W 168th St,palliser_hotel@aol.com,0494-416309,Palliser Hotel
89,12:00-23:00,New York,5/17/18 9:52,349,E 36th St,haverford_association_of_new_york@hotmail.com,0494-267012,Haverford Association Of New York
90,12:00-23:00,New York,4/27/17 10:43,38,3rd Pl,alpha_deuteron_phi_gamma_delta@outlook.com,0494-756169,Alpha Deuteron Phi Gamma Delta
91,12:00-23:00,New York,4/22/17 19:31,29,W 116th St,national_wholesale__druggists_association@yahoo.com,0494-229559,National Wholesale  Druggists Association
92,12:00-23:00,New York,11/22/17 23:37,287,Marketfield St,usatlantic_fleet_crews@gmail.com,0497-061282,U.S.Atlantic Fleet Crews
93,12:00-23:00,New York,8/29/17 22:06,220,W 220th St,steamship_yucatan@inbox.com,0495-294565,Steamship Yucatan
94,12:00-23:00,New York,8/7/17 1:12,191,Pell St,hotel_gloria@inbox.com,0499-713286,Hotel Gloria
95,12:00-23:00,New York,10/1/17 18:57,263,Nathan D Perlman Pl,hotel_chittenden@outlook.com,0494-564699,Hotel Chittenden
96,12:00-23:00,New York,8/30/17 23:45,223,W 124th St,alumni_association_of_public_school_no26@outlook.com,0494-317597,Alumni Association Of Public School No.26
97,12:00-23:00,New York,9/2/17 10:04,229,Gramercy Park N,deutsche_gesandtschaft@gmail.com,0494-127280,Deutsche Gesandtschaft
98,12:00-23:00,New York,9/29/17 2:17,259,W 176th St,chambre_de_commerce_francaise_de_new_york@outlook.com,0498-709834,Chambre De Commerce Francaise De New York
99,12:00-23:00,New York,5/19/17 7:55,83,Riverside Dr,norge_hotel@hotmail.com,0497-550012,Norge Hotel
100,12:00-23:00,New York,5/20/17 6:48,86,Stuyvesant St,the_hotel_roosevelt@inbox.com,0497-436123,The Hotel Roosevelt
101,12:00-23:00,New York,3/2/18 2:05,326,Spruce St,patricia_murphys_candlelight_restaurants@gmail.com,0496-780723,Patricia Murphys Candlelight Restaurants
102,12:00-23:00,New York,8/17/17 21:24,208,W 174th St,toyo_kisen_kaisha__hong_kong_maru@hotmail.com,0497-231028,Toyo Kisen Kaisha  Hong Kong Maru
103,12:00-23:00,New York,12/28/17 12:42,309,W 154th St,ideal_dining_and_lunch_room@outlook.com,0497-457228,Ideal Dining And Lunch Room
104,12:00-23:00,New York,6/16/17 13:15,138,3rd Pl,park_lane@aol.com,0498-053394,Park Lane
105,12:00-23:00,New York,8/11/17 19:26,198,W 163rd St,spengers_fish_grotto@yahoo.com,0498-676339,Spengers Fish Grotto
106,12:00-23:00,New York,3/7/18 14:57,331,W 154th St,ex_libris@mail.com,0495-086547,Ex Libris
107,12:00-23:00,New York,8/18/17 18:50,210,Renwick St,society_of_medical_jurisprudence@outlook.com,0498-605486,Society Of Medical Jurisprudence
108,12:00-23:00,New York,11/14/17 18:12,280,W 123rd St,taillevent@outlook.com,0495-037238,Taillevent
109,12:00-23:00,New York,11/16/17 17:32,282,Avenue D,"personal_friends,_business_associates,_and_citizens@aol.com",0497-141419,"Personal Friends, Business Associates, And Citizens"
110,12:00-23:00,New York,6/23/17 7:36,145,Pearl St,cocoanut_grove@inbox.com,0494-400826,Cocoanut Grove
111,12:00-23:00,Unknown,6/30/17 11:41,153,Hay Rd,eastern_hotel@gmail.com,0495-942778,Eastern Hotel
112,12:00-23:00,Unknown,2/25/19 4:14,416,Hamilton Pl,hotel_cecil@outlook.com,0498-426305,Hotel Cecil
113,12:00-23:00,New York,8/27/17 2:45,216,59th St Bridge,hotel_pontchartrain@hotmail.com,0499-317476,Hotel Pontchartrain
114,12:00-23:00,New York,11/17/17 8:37,284,Roosevelt Island Bridge,haans@inbox.com,0495-368488,Haans
115,12:00-23:00,Unknown,1/27/18 8:00,315,Penn Plaza,safari_hotel@mail.com,0494-511657,Safari Hotel
116,12:00-23:00,Unknown,9/7/17 9:47,236,E 9th St,german_savings_bank_of_brooklyn@hotmail.com,0497-307601,German Savings Bank Of Brooklyn
117,12:00-23:00,New York,5/14/17 1:44,72,W 82nd St,los_angeles_consistory_#3@yahoo.com,0498-321326,Los Angeles Consistory #3
118,12:00-23:00,Unknown,9/3/17 21:35,233,Legion Memorial Square,great_northern@inbox.com,0496-703539,Great Northern
119,12:00-23:00,New York,7/18/17 11:13,177,Minetta St,rotisserie_de_la_table_du_roy_(le_chef_georges)@outlook.com,0497-312894,Rotisserie De La Table Du Roy (Le Chef Georges)
120,12:00-23:00,New York,6/12/17 11:33,124,Baxter St,streets_of_mexico_restaurant@yahoo.com,0495-089881,Streets Of Mexico Restaurant
121,13:00-23:00,San Francisco,4/20/17 23:22,25,Otis St,berkeley_class_of_91@hotmail.com,0499-030675,Berkeley Class Of 91
122,13:00-23:00,San Francisco,8/8/17 4:18,194,Mizpah St,ristorante_alfredo_alla_scrofa@aol.com,0495-327881,Ristorante Alfredo Alla Scrofa
123,13:00-23:00,San Francisco,4/14/17 14:49,19,French Ct - Golden Gate National Recreation Area,pains_fireworks_co_employees@aol.com,0495-997499,Pains Fireworks Co. Employees
124,13:00-23:00,San Francisco,7/31/18 22:31,368,Sola Ave,mountain_park_hotel@aol.com,0495-322017,Mountain Park Hotel
125,13:00-23:00,San Francisco,8/13/18 4:14,371,Ruger St - Golden Gate National Recreation Area,hochst@outlook.com,0496-521794,Hochst
126,13:00-23:00,San Francisco,7/6/18 0:27,361,Mason Ct,hofbrau_haus@mail.com,0497-964074,Hofbrau Haus
127,13:00-23:00,San Francisco,8/1/17 5:18,188,Cresta Vista Dr,steinbergs_dairy@hotmail.com,0499-107536,Steinbergs Dairy
128,13:00-23:00,San Francisco,8/22/18 9:43,374,Taber Alley,american_chamber_of_commerce_of_paris_commission_for_the_exposiion_of_1900@aol.com,0495-912144,American Chamber Of Commerce Of Paris Commission For The Exposiion Of 1900
129,13:00-23:00,San Francisco,5/30/17 9:44,104,Bryant Ln,wells_river_fish_and_game_club@yahoo.com,0498-251750,Wells River Fish And Game Club
130,13:00-23:00,San Francisco,8/12/17 17:39,199,Amador St,purcell_house@hotmail.com,0499-685520,Purcell House
131,13:00-23:00,San Francisco,5/31/17 22:45,107,Alta St,sangamo_club@inbox.com,0496-311062,Sangamo Club
132,13:00-23:00,San Francisco,6/11/17 23:51,122,Park Presidio Blvd,shanes@inbox.com,0495-418146,Shanes
133,13:00-23:00,San Francisco,9/21/18 17:50,379,Mansell St,keystone_restaurant@hotmail.com,0495-243095,Keystone Restaurant
134,13:00-23:00,San Francisco,5/14/17 5:46,73,Dodge Pl,hotel_ponce_de_leon@outlook.com,0496-508045,Hotel Ponce De Leon
135,13:00-23:00,San Francisco,5/11/17 2:35,65,Hwy 82,the_homestead_gwinn@outlook.com,0494-985549,The Homestead Gwinn
136,13:00-23:00,San Francisco,10/3/17 11:11,265,Cashmere St,w_atlee_burpee@mail.com,0498-897226,W. Atlee Burpee
137,13:00-23:00,San Francisco,9/15/17 13:33,244,Badger St,ss_constitution@aol.com,0496-569278,S.S. Constitution
138,13:00-23:00,San Francisco,7/1/17 3:13,154,Spreckels Lake Dr,veteran_association_of_the_5th_ny_artillery_volunteers@mail.com,0494-819100,Veteran Association Of The 5th Ny Artillery Volunteers
139,13:00-23:00,San Francisco,4/12/18 6:15,344,Reuel Ct,bangkok_cuisine@hotmail.com,0497-983256,Bangkok Cuisine
140,13:00-23:00,San Francisco,6/16/17 1:07,135,Avenue C,joe_coluccis_puccini_restaurant@aol.com,0498-592335,Joe Coluccis Puccini Restaurant
141,13:00-23:00,San Francisco,5/17/17 14:28,80,Foote Ave,the_scandia@gmail.com,0494-664925,The Scandia
142,13:00-23:00,San Francisco,3/17/19 2:33,421,Juri St,corps_consulaire@aol.com,0498-974115,Corps Consulaire
143,13:00-23:00,San Francisco,5/9/17 0:23,61,Conservatory Access Rd,"new_hotel_berkeley,the@inbox.com",0498-146795,"New Hotel Berkeley,The"
144,13:00-23:00,San Francisco,5/21/18 4:03,350,Dore St,hotel_colorado@outlook.com,0499-224770,Hotel Colorado
145,13:00-23:00,San Francisco,5/27/17 9:13,97,Wilde Ave,elka_park_association@outlook.com,0496-577049,Elka Park Association
146,13:00-23:00,San Francisco,5/1/17 20:57,48,Spruce St,wally_j@gmail.com,0498-137288,Wally J
147,13:00-23:00,San Francisco,4/5/17 4:01,2,Thornton Ave,duffs@gmail.com,0495-750801,Duffs
148,13:00-23:00,San Francisco,9/29/18 23:22,382,Dale Pl,smsvineta@inbox.com,0495-142934,S.M.S.Vineta
149,13:00-23:00,San Francisco,4/7/17 9:44,6,Gaviota Way,camp_wadsworth@aol.com,0497-545403,Camp Wadsworth
150,13:00-23:00,San Francisco,4/15/17 11:08,20,Jackson St,john_hart@yahoo.com,0495-220630,John Hart
151,13:00-23:00,San Francisco,2/8/18 14:41,320,Dwight St,ernest_marples_cellars@hotmail.com,0497-895115,Ernest Marples Cellars
152,13:00-23:00,San Francisco,10/19/17 10:00,269,De Boom St,the_pilgrims@mail.com,0495-716563,The Pilgrims
153,13:00-23:00,San Francisco,6/10/18 19:54,352,Redfield Alley,the_red_star_inn@mail.com,0495-359995,The Red Star Inn
154,13:00-23:00,San Francisco,5/14/17 9:22,74,Terra Vista Ave,la_vicomtesse_parker@aol.com,0496-009626,La Vicomtesse Parker
155,13:00-23:00,San Francisco,5/7/17 15:21,55,Monument Way,hamburg__armerika_linie@gmail.com,0499-110587,Hamburg  Armerika Linie
156,13:00-23:00,San Francisco,8/2/17 9:01,189,Dale Pl,paul_clemann@yahoo.com,0498-742579,Paul Clemann
157,13:00-23:00,San Francisco,5/2/17 3:51,49,Horace St,merchants_club___the_salvation_army@aol.com,0498-417586,Merchants Club   The Salvation Army
158,13:00-23:00,San Francisco,12/17/17 19:30,304,Central Ave,the_terrace_restaurant@mail.com,0496-597067,The Terrace Restaurant
159,13:00-23:00,San Francisco,7/20/18 6:11,364,Bliss St - Golden Gate National Recreation Area,mrs_h_mc_k_twombley@hotmail.com,0498-406807,Mrs. H. Mc K. Twombley
160,13:00-23:00,New York,11/25/18 5:35,394,W 119th St,palace_hotel_restaurat@mail.com,0496-199308,Palace Hotel Restaurat
161,13:00-23:00,New York,3/7/18 5:11,330,River Rd,oneco_hotel@outlook.com,0495-918349,Oneco Hotel
162,13:00-23:00,New York,4/16/17 12:26,22,University Pl,ss_hastings@mail.com,0497-759548,S.S. Hastings
163,13:00-23:00,New York,5/10/17 17:33,64,Marginal St,leon_&_eddies@gmail.com,0495-181886,Leon & Eddies
164,13:00-23:00,New York,11/17/17 22:19,286,Gustave L. Levy Pl,restaurant_cafe_winkler@gmail.com,0494-530143,Restaurant Cafe Winkler
165,13:00-23:00,New York,11/16/17 23:18,283,W 165th St,associates_of_the_interborough_rapid_transit_co@yahoo.com,0496-498427,Associates Of The Interborough Rapid Transit Co.
166,13:00-23:00,New York,4/8/18 23:30,341,Craig Rd N,deutsche_liederkranz@mail.com,0497-036924,Deutsche Liederkranz
167,13:00-23:00,New York,2/14/19 12:35,414,Manhattan,rh_macy_and_co@mail.com,0495-810995,R.H. Macy and Co.
168,13:00-23:00,New York,8/19/17 5:54,211,Marble Hill Ln,joseph_pulitzer@aol.com,0494-529945,Joseph Pulitzer
169,13:00-23:00,New York,1/14/18 4:11,312,W 31st St,hotel_de_paris@outlook.com,0496-813960,Hotel De Paris
170,13:00-23:00,New York,9/4/17 3:02,234,Dongan Pl,community_of_zurich@inbox.com,0499-332744,Community Of Zurich
171,13:00-23:00,New York,8/27/17 9:47,217,Colonel Robert Magaw Pl,cafe_new_york_restaurant@aol.com,0498-062323,Cafe New York Restaurant
172,13:00-23:00,New York,11/4/17 20:46,277,Short Ave,royal_pavillion_hotel@mail.com,0499-920840,Royal Pavillion Hotel
173,13:00-23:00,New York,6/27/17 1:11,148,Tiemann Pl,nippon_yusen_kaisha___sskobe_liaru@aol.com,0496-749513,Nippon Yusen Kaisha   S.S.Kobe Liaru
174,13:00-23:00,New York,7/18/17 21:43,178,W 22nd St,league_building@mail.com,0494-973550,League Building
175,13:00-23:00,New York,5/30/17 9:20,103,John Jay Byrne Bridge,volapukakluba_nolumelopik@inbox.com,0495-155452,Volapukakluba Nolumelopik
176,13:00-23:00,New York,11/11/18 11:38,392,Martin Luther King Blvd,fritzels@outlook.com,0497-163415,Fritzels
177,13:00-23:00,New York,6/29/17 6:06,151,Jones Alley,chateau_frontenac_hotel@hotmail.com,0499-824348,Chateau Frontenac Hotel
178,13:00-23:00,New York,12/16/17 22:02,303,Centre Market Pl,hotel_grenoble@gmail.com,0497-826678,Hotel Grenoble
179,13:00-23:00,New York,7/24/17 4:58,181,Escanaba Rd,delta_kappa_epsilon_fraternity@aol.com,0494-762373,Delta Kappa Epsilon Fraternity
180,13:00-23:00,New York,6/28/17 21:44,150,Cannon St,the_waldorf_astoria_hotel@inbox.com,0494-929274,The Waldorf Astoria Hotel
181,13:00-23:00,New York,11/14/17 23:54,281,Hanover Square,washington_association_of_bowdoin_alumni@mail.com,0496-364859,Washington Association Of Bowdoin Alumni
182,13:00-23:00,New York,4/26/18 17:32,347,2nd St (See E 2nd St below),paquebot_ile_de_france@gmail.com,0495-042205,Paquebot Ile De France
183,13:00-23:00,New York,2/6/19 18:05,412,W 225th St,union_league_of_maryland@inbox.com,0498-572670,Union League Of Maryland
184,13:00-23:00,New York,4/28/17 16:06,42,Bradhurst Ave,cigar_leaf_tobacco_board_of_trade_of_the_united_states@mail.com,0498-516439,Cigar Leaf Tobacco Board Of Trade Of The United States
185,13:00-23:00,New York,10/27/18 23:36,388,E 55th St,comrades_of_the_army_of_the_potomac@yahoo.com,0497-243460,Comrades Of The Army Of The Potomac
186,13:00-23:00,New York,9/11/18 12:21,378,Union Square E,petrossian_restaurant@outlook.com,0497-167234,Petrossian Restaurant
187,13:00-23:00,New York,7/25/17 1:03,182,Macdougal St,the_national_arts_club@mail.com,0495-640880,The National Arts Club
188,13:00-23:00,New York,5/28/17 18:13,100,Amsterdam Ave,kempinski_restaurant@mail.com,0497-742699,Kempinski Restaurant
189,13:00-23:00,New York,3/16/18 21:02,334,E 25th St,hotel_royal_palm@hotmail.com,0499-165371,Hotel Royal Palm
190,13:00-23:00,New York,10/21/17 2:36,272,Robert F Wagner Sr Pl,glen_falls_club@inbox.com,0497-169737,Glen Falls Club
191,13:00-23:00,New York,10/19/17 21:18,270,Beekman St,val_bella@gmail.com,0499-376327,Val Bella
192,13:00-23:00,New York,1/25/19 4:37,410,Rutgers Slip,"supper_menu,_red_star_line_antwerpen_new_york_antwerpen_boston@yahoo.com",0494-602526,"Supper Menu, Red Star Line Antwerpen New York Antwerpen Boston"
193,13:00-23:00,New York,5/20/17 7:01,87,W 157th St,the_pullman_company@inbox.com,0494-454409,The Pullman Company
194,13:00-23:00,New York,6/17/17 9:32,139,59th St Bridge,jacob_reiss@aol.com,0494-056519,Jacob Reiss
195,13:00-23:00,New York,9/3/18 18:52,376,Main St,hotel_eugenia_victoria@mail.com,0499-238506,Hotel Eugenia Victoria
196,13:00-23:00,New York,9/3/17 10:51,232,Franklin St,little_china@hotmail.com,0494-853775,Little China
197,13:00-23:00,New York,5/13/17 5:35,69,E 117th St,kronenhalle@outlook.com,0499-590224,Kronenhalle
198,13:00-23:00,New York,5/14/17 18:28,75,W 90th St,ritz-carlton@gmail.com,0498-293424,Ritz-Carlton
